Timestamp,SeriesCode,Series,Lost megawatts
12/01/2024 08:00:00,NZ_H,Hydro,910.8
12/01/2024 08:00:00,NZ_T,Thermal,521.0
12/01/2024 08:00:00,NZ_W,Wind,193.9
12/01/2024 08:00:00,UNKN,Unknown,65.0
12/01/2024 09:00:00,NZ_G,Geothermal,50.7
12/01/2024 09:00:00,NZ_H,Hydro,910.8
12/01/2024 09:00:00,NZ_T,Thermal,521.0
12/01/2024 09:00:00,NZ_W,Wind,193.9
12/01/2024 09:00:00,UNKN,Unknown,66.0
12/01/2024 10:00:00,NZ_G,Geothermal,50.7
12/01/2024 10:00:00,NZ_H,Hydro,983.5
12/01/2024 10:00:00,NZ_T,Thermal,521.0
12/01/2024 10:00:00,NZ_W,Wind,193.9
12/01/2024 10:00:00,UNKN,Unknown,66.0
12/01/2024 11:00:00,NZ_G,Geothermal,50.7
12/01/2024 11:00:00,NZ_H,Hydro,1017.0
12/01/2024 11:00:00,NZ_T,Thermal,521.0
12/01/2024 11:00:00,NZ_W,Wind,193.9
12/01/2024 11:00:00,UNKN,Unknown,66.0
12/01/2024 11:30:00,NZ_G,Geothermal,50.7
12/01/2024 11:30:00,NZ_H,Hydro,1057.0
12/01/2024 11:30:00,NZ_T,Thermal,521.0
12/01/2024 11:30:00,NZ_W,Wind,193.9
12/01/2024 11:30:00,UNKN,Unknown,66.0
12/01/2024 12:00:00,NZ_G,Geothermal,50.7
12/01/2024 12:00:00,NZ_H,Hydro,997.3
12/01/2024 12:00:00,NZ_T,Thermal,521.0
12/01/2024 12:00:00,NZ_W,Wind,193.9
12/01/2024 12:00:00,UNKN,Unknown,66.0
12/01/2024 14:00:00,NZ_G,Geothermal,50.7
12/01/2024 14:00:00,NZ_H,Hydro,965.3
12/01/2024 14:00:00,NZ_T,Thermal,521.0
12/01/2024 14:00:00,NZ_W,Wind,193.9
12/01/2024 14:00:00,UNKN,Unknown,66.0
12/01/2024 16:00:00,NZ_G,Geothermal,50.7
12/01/2024 16:00:00,NZ_H,Hydro,961.3
12/01/2024 16:00:00,NZ_T,Thermal,521.0
12/01/2024 16:00:00,NZ_W,Wind,193.9
12/01/2024 16:00:00,UNKN,Unknown,65.0
12/01/2024 16:30:00,NZ_G,Geothermal,50.7
12/01/2024 16:30:00,NZ_H,Hydro,961.3
12/01/2024 16:30:00,NZ_T,Thermal,521.0
12/01/2024 16:30:00,NZ_W,Wind,193.9
12/01/2024 16:30:00,UNKN,Unknown,64.0
12/01/2024 17:00:00,NZ_G,Geothermal,50.7
12/01/2024 17:00:00,NZ_H,Hydro,943.3
12/01/2024 17:00:00,NZ_T,Thermal,521.0
12/01/2024 17:00:00,NZ_W,Wind,193.9
12/01/2024 17:00:00,UNKN,Unknown,64.0
12/01/2024 18:30:00,NZ_G,Geothermal,45.7
12/01/2024 18:30:00,NZ_H,Hydro,943.3
12/01/2024 18:30:00,NZ_T,Thermal,521.0
12/01/2024 18:30:00,NZ_W,Wind,193.9
12/01/2024 18:30:00,UNKN,Unknown,64.0
12/01/2024 20:00:00,NZ_G,Geothermal,45.7
12/01/2024 20:00:00,NZ_H,Hydro,943.3
12/01/2024 20:00:00,NZ_T,Thermal,532.0
12/01/2024 20:00:00,NZ_W,Wind,193.9
12/01/2024 20:00:00,UNKN,Unknown,64.0
12/01/2024 20:15:00,NZ_G,Geothermal,45.7
12/01/2024 20:15:00,NZ_H,Hydro,943.3
12/01/2024 20:15:00,NZ_T,Thermal,521.0
